Species;Name;Area 1;Area 2;Area 3;Area 4;Area 5;Area 6;Area 7;Area 8;Area 9;Area 10;Area 11;Area 12;Area 13;Area 14;Area 15;Area 16;Area 17;Area 18;Area 19;Area 20;Area 21;Area 22;Area 23;Area 24;Area 25;Area 26;Area 27;Area 28;Area 29;Area 30;Area 31;Area 32;Area 33;Area 34;Area 35;Area 36;Area 37;Area 38;Area 39;Area 40;Area 41;Area 42;Area 43;Area 44;Area 45;Area 46;Area 47;Area 48;Area 49;Area 50;Area 51;Area 52;Area 53;Area 54;Area 55;Area 56;Area 57;Area 58;Area 59;Area 60;Area 61;Area 62;Area 63;Area 64;Area 65;Area 66;Area 67;Area 68;Area 69;Area 70;Area 71;Area 72;Area 73;Area 74;Area 75;Area 76;Area 77;Area 78;Area 79;Area 80;Area 81;Area 82;Area 83;Area 84;Area 85;Area 86;Area 87;Area 88;Area 89;Area 90;Area 91;Area 92;Area 93;Area 94;Area 95;Area 96;Area 97;Area 98;Area 99;Area 100;Area 101;Area 102
Longitude (deg);;5.660977943252967;5.660963495353013;5.664176365017869;5.659349745637618;5.665502308373899;5.665035990396405;5.668012603684687;5.667331958730126;5.665512911575619;5.667409802165487;5.668599288988847;5.6688948415130325;5.664837262027547;5.659028196101159;5.664943038644178;5.6627871550992435;5.662905823637778;5.665982938601814;5.665195883712783;5.668145679560625;5.6677149598076895;5.6657752452859755;5.665453510553519;5.666897763994921;5.666324819261295;5.657497057801858;5.6575808205112255;5.655762226321274;5.656057225816166;5.659761693142337;5.66266351721873;5.6621442150684205;5.66287212096218;5.661203613439796;5.666937790095111;5.67032426374805;5.676168271698367;5.67528895637944;5.672922814331774;5.672980929002588;5.674375194842256;5.674226987349638;5.672914105979587;5.6746465724644075;5.675697613666829;5.675226685489547;5.676665902224608;5.6576811441627655;5.6653445820851145;5.667554200329954;5.6654692954092365;5.666295425140575;5.666882982240747;5.662377458345613;5.659335134806904;5.667540876323697;5.668773073531854;5.662692685981794;5.668923956623602;5.670280874492024;5.6653881434791264;5.667302844156519;5.665647820217882;5.665108105411331;5.664059800363489;5.664720416422365;5.657540403053027;5.657667726495094;5.657637582945563;5.667437621983891;5.667816473806713;5.665818360840492;5.659014347687719;5.66790504027038;5.667407891717886;5.665177025370652;5.6681455668813925;5.660977998154736;5.6669956262733;5.665522497400102;5.662807497536312;5.65982749769571;5.676226619641193;5.676680459631582;5.674632475947665;5.674125260845763;5.6756258659244345;5.6752303212195345;5.668049163953156;5.675270529094854;5.672907970557193;5.6742791636857275;5.672827497069042;5.655725831243745;5.662831821390116;5.662935656946521;5.66539885179548;5.665910206790587;5.65581916456344;5.661310830930718;inf;inf
Latitude (deg);;51.98724423023929;51.98726224029939;51.98418973520347;51.98282580974671;51.98439333308371;51.984313542007826;51.985429997352874;51.985997878459095;51.98610106863705;51.98680663214806;51.98612967541382;51.98683004835446;51.98513193895818;51.98501068951884;51.98810678730326;51.98553224345886;51.98589149375215;51.98677407106552;51.98662313494836;51.988081202246434;51.98904396910771;51.98849131161567;51.985912456755;51.986403381724344;51.98556883941934;51.984573797105284;51.98398038247408;51.98171952072992;51.982365997970255;51.983543912639796;51.98436406544506;51.98513826732633;51.9851455511193;51.98605726074479;51.985819052638405;51.98726703755957;51.988241524207965;51.98733587226225;51.98611924856783;51.98610113090248;51.98332037459706;51.98518129765936;51.98475306086865;51.987049821546414;51.98749665816537;51.98444181913936;51.98639771613273;51.98371949353378;51.98712612314224;51.98894548220682;51.986110160083214;51.985523968127154;51.9863674640346;51.985191650946625;51.9828168553515;51.986815307919294;51.98598544794693;51.98437298531647;51.986829978597875;51.98731208309296;51.98710804366345;51.98599794782127;51.984384000349486;51.98420551299257;51.98417203331371;51.98506929731489;51.98451976817448;51.983908276879745;51.983737570167655;51.98892778368601;51.98898080941806;51.98840132736009;51.9851275682919;51.986850391946355;51.98650103746723;51.98827701035461;51.988063226093374;51.98725321832134;51.98575599752606;51.98589896760622;51.985172300919984;51.98353896755776;51.9882593572287;51.9863976802939;51.987121761723564;51.98520851059582;51.98765862203889;51.987273098407535;51.98546396761468;51.98446867638333;51.98607434356107;51.98331896762609;51.98486396763263;51.981688967521485;51.98569392658408;51.98600827055105;51.98648783170635;51.986783231703356;51.98247396752895;51.98595896758639;inf;inf
Hogere plant;Achillea millefolium - Duizendblad;8.0;;2.0;8.0;8.0;2.0;8.0;3.0;8.0;2.0;8.0;;3.0;2.0;2.0;;;;;;;;;;2.0;8.0;8.0;;;;;;;;3.0;;;;;;;;;8.0;;;;8.0;8.0;;8.0;2.0;;;8.0;8.0;8.0;;;;8.0;2.0;8.0;4.0;2.0;8.0;8.0;8.0;8.0;;;;1.0;;8.0;4.0;;;4.0;;;;;;3.0;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Aira caryophyllea - Zilverhaver;8.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;2.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Aira praecox - Vroege haver;2.0;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Aphanes australis - Kleine leeuwenklauw;8.0;2.0;;;;;;;;;;;;;1.0;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Arenaria serpyllifolia - Gewone zandmuur;8.0;3.0;;;;;2.0;;;;2.0;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;2.0;;;;;;2.0;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Bellis perennis - Madeliefje;2.0;2.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;8.0;;;;2.0;;;;;;;2.0;;2.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Betula pendula - Ruwe berk;1.0;1.0;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;8.0;0.0;
Mos;Brachythecium albicans - Bleek dikkopmos;8.0;;;;;;;;;;;;;8.0;2.0;;;;;;;;;;;8.0;8.0;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;8.0;8.0;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
